FID,F1,F2,F3,F4,F5,ID
67,-84.762456,31.186082,3.7,7.3,56.329,81
68,-84.762464,31.186107,3.5,7.3,56.294,82
69,-84.762472,31.186132,3.8,7.4,56.286,83
70,-84.762481,31.186156,3.9,7.3,56.262,84
71,-84.76249,31.186181,3.7,7.9,56.287,85
72,-84.762499,31.186206,3.7,8.4,56.258,86
73,-84.762508,31.18623,4.2,9.6,56.225,87
74,-84.762516,31.186255,3.5,8.7,56.212,88
75,-84.762525,31.18628,3.4,8.3,56.216,89
76,-84.762534,31.186304,4.3,9.2,56.185,90
77,-84.762543,31.186329,3.6,9,56.163,91
78,-84.762551,31.186354,4.4,9.1,56.155,92
79,-84.762559,31.186379,3.8,8.6,56.131,93
80,-84.762567,31.186404,3.4,7.8,56.121,94
81,-84.762576,31.186429,3.8,7,56.121,95
82,-84.762586,31.186453,4.4,7.2,56.112,96
83,-84.762594,31.186478,4,6.9,56.11,97
84,-84.762603,31.186502,3.7,7.1,56.111,98
85,-84.762612,31.186527,3.4,7.2,56.164,99
86,-84.76262,31.186552,4.1,7.5,56.136,100
87,-84.762629,31.186577,3.7,7.7,56.12,101
88,-84.762637,31.186601,3.9,8.1,56.121,102
89,-84.762646,31.186626,4.1,9,56.1,103
90,-84.762656,31.186651,4.9,9.2,56.09,104
91,-84.762664,31.186675,5.1,9.7,56.097,105
92,-84.762672,31.1867,4.5,8.3,56.127,106
93,-84.762681,31.186725,4.4,9.9,56.154,107
94,-84.762689,31.18675,4.4,10.2,56.137,108
95,-84.762698,31.186774,4.1,9.5,56.154,109
96,-84.762707,31.186799,4,9,56.176,110
97,-84.762713,31.186824,3.4,9,56.271,111
98,-84.762722,31.186849,3.1,7.5,56.285,112
99,-84.762731,31.186873,3,7.3,56.258,113
100,-84.76274,31.186898,2.9,6.7,56.253,114
101,-84.762748,31.186923,2.7,6.4,56.212,115
102,-84.762758,31.186948,3,7.4,56.229,116
103,-84.762766,31.186973,3,9.3,56.203,117
104,-84.762775,31.186998,3.7,9.1,56.194,118
105,-84.762783,31.187023,3.4,9.8,56.12,119
106,-84.762792,31.187047,3.8,9.3,56.056,120
107,-84.7628,31.187072,3.9,8.8,56.009,121
108,-84.762809,31.187097,4.9,10,55.997,122
109,-84.76282,31.187122,3.9,8.3,55.93,123
110,-84.762829,31.187147,4.6,8.9,55.908,124
111,-84.762838,31.187172,3.8,8.3,55.87,125
112,-84.762847,31.187197,3.8,8.8,55.811,126
113,-84.762855,31.187221,3.3,8.4,55.752,127
114,-84.762864,31.187247,3.6,7.6,55.673,128
115,-84.762872,31.187272,3,7.6,55.634,129
116,-84.762881,31.187297,3.2,6.6,55.595,130
117,-84.762889,31.187322,2.8,6.4,55.555,131
118,-84.762898,31.187347,2.7,6.1,55.483,132
119,-84.762907,31.187372,2.6,6.3,55.467,133
120,-84.762915,31.187397,2.3,5.9,55.436,134
121,-84.762923,31.187421,2.6,6.2,55.402,135
122,-84.762933,31.187446,2.6,6.4,55.373,136
123,-84.762941,31.187471,3.4,6.6,55.328,137
124,-84.76295,31.187496,2.3,5.9,55.267,138
125,-84.762959,31.187521,2.2,5.7,55.23,139
126,-84.762967,31.187546,2.1,5.1,55.17,140
127,-84.762976,31.187571,1.3,3.9,55.204,141
128,-84.762985,31.187596,1.4,4.1,55.151,142
129,-84.762995,31.187621,1.5,3.6,55.116,143
130,-84.763005,31.187647,1.4,3.8,55.073,144
131,-84.763014,31.187671,1.4,3.4,55.05,145
132,-84.763023,31.187696,1.5,3.3,54.961,146
133,-84.763032,31.187722,1.3,3.6,54.938,147
134,-84.76304,31.187747,1.4,3.6,54.877,148
135,-84.763048,31.187773,1.4,3.9,54.836,149
136,-84.763056,31.187799,1.5,4.2,54.814,150
137,-84.763064,31.187824,1.7,4.7,54.748,151
138,-84.763073,31.187849,1.8,4.9,54.684,152
139,-84.76308,31.187875,2,5.7,54.654,153
140,-84.763089,31.1879,2.1,6.5,54.62,154
141,-84.763098,31.187925,2.5,7.5,54.603,155
142,-84.763106,31.187951,2.3,7.3,54.551,156
143,-84.763115,31.187976,2.6,8.3,54.534,157
144,-84.763124,31.188,4.3,9.1,54.479,158
145,-84.763133,31.188025,5.2,11.1,54.498,159
146,-84.763141,31.18805,5.7,10.2,54.545,160
147,-84.76315,31.188075,5.3,10.4,54.63,161
148,-84.763158,31.188099,4.5,8.9,54.653,162
149,-84.763167,31.188124,3.7,8.2,54.74,163
150,-84.763176,31.188149,3.9,8.1,54.762,164
151,-84.763184,31.188175,4.2,8.3,54.837,165
152,-84.763193,31.1882,4.4,9.1,54.862,166
153,-84.763202,31.188225,4.2,8.5,54.913,167
154,-84.763211,31.18825,4.1,9.4,54.928,168
155,-84.76322,31.188275,4,9.5,54.919,169
156,-84.763229,31.1883,3.6,8.9,54.9,170
157,-84.763237,31.188325,3.1,9.1,54.882,171
158,-84.763246,31.188351,3.8,9.4,54.865,172
159,-84.763254,31.188377,3.5,9.3,54.83,173
160,-84.763261,31.188402,3.6,9.5,54.815,174
161,-84.763271,31.188428,2.9,7.8,54.845,175
162,-84.763282,31.188452,3.3,8.6,54.76,176
163,-84.763291,31.188478,2.7,7.5,54.758,177
164,-84.763299,31.188503,3.1,7.5,54.638,178
165,-84.763308,31.188529,3.1,7.1,54.618,179
166,-84.763317,31.188554,2.9,7.7,54.616,180
167,-84.763326,31.188579,2.8,7,54.588,181
168,-84.763335,31.188605,3.4,7,54.609,182
169,-84.763344,31.18863,3.7,7.1,54.563,183
170,-84.763353,31.188655,3.5,7.4,54.556,184
171,-84.763361,31.18868,3.8,7.5,54.587,185
172,-84.76337,31.188706,3.2,7.1,54.63,186
173,-84.763379,31.188732,3.4,6.7,54.676,187
174,-84.763388,31.188757,3.1,6.3,54.655,188
175,-84.763396,31.188782,3,5.9,54.63,189
176,-84.763404,31.188808,3.7,7.1,54.604,190
177,-84.763413,31.188833,3.9,7.6,54.61,191
178,-84.763423,31.188858,4.2,8.3,54.58,192
179,-84.763431,31.188883,3.8,9.2,54.585,193
180,-84.76344,31.188908,3.9,8.8,54.594,194
181,-84.763448,31.188934,4.5,11.1,54.557,195
182,-84.763457,31.188959,4.2,11.1,54.554,196
183,-84.763467,31.188983,4,13.6,54.505,197
184,-84.763475,31.189009,4,13,54.484,198
185,-84.763483,31.189034,4.7,15.6,54.464,199
186,-84.763492,31.189059,4.6,13.2,54.421,200
187,-84.763511,31.18911,5.3,13.9,54.382,202
188,-84.76352,31.189135,5,11.6,54.33,203
189,-84.763529,31.189161,5,11.8,54.304,204
190,-84.763537,31.189186,3.9,9.7,54.28,205
191,-84.763545,31.189211,3.5,9.7,54.259,206
192,-84.763554,31.189237,3.6,8.7,54.201,207
193,-84.763562,31.189262,3.2,7.4,54.176,208
194,-84.763569,31.189287,4.6,8.4,54.224,209
195,-84.763577,31.189313,4.8,8,54.212,210
196,-84.763581,31.189339,3.8,7.6,54.253,211
197,-84.763592,31.189363,3.9,7.5,54.227,212
198,-84.7636,31.189389,3.6,7.4,54.245,213
199,-84.763608,31.189414,4.2,8.7,54.219,214
200,-84.763617,31.189439,4.2,9.1,54.215,215
201,-84.763626,31.189464,4.1,8.7,54.219,216
202,-84.763635,31.189489,3.1,8,54.22,217
203,-84.763643,31.189514,2.8,7.4,54.196,218
204,-84.763652,31.189539,3.3,7.6,54.238,219
205,-84.76366,31.189564,3,7.1,54.226,220
206,-84.763669,31.189589,2.5,5.8,54.213,221
207,-84.763678,31.189615,2.6,4.9,54.222,222
208,-84.763687,31.18964,2.1,3.9,54.194,223
209,-84.763695,31.189666,2.5,4.4,54.175,224
210,-84.763704,31.18969,3.4,6.7,54.149,225
211,-84.763713,31.189715,4.2,6.8,54.184,226
212,-84.763722,31.18974,4,7.3,54.183,227
213,-84.763731,31.189765,4.6,7.9,54.188,228
214,-84.76374,31.189791,4.2,7.3,54.223,229
215,-84.763748,31.189816,3.9,7.8,54.219,230
216,-84.763757,31.189841,4.5,9.4,54.239,231
217,-84.763766,31.189866,4.6,9.7,54.233,232
218,-84.763774,31.189891,4.3,11,54.271,233
219,-84.763783,31.189917,4.7,8.6,54.278,234
220,-84.763791,31.189942,4.4,7.5,54.34,235
221,-84.7638,31.189968,5,8.6,54.328,236
222,-84.763809,31.189993,4,7.7,54.306,237
223,-84.763818,31.190018,5.3,8.6,54.271,238
224,-84.763826,31.190044,4.9,8.3,54.243,239
225,-84.763835,31.190068,5.3,7.3,54.237,240
226,-84.763844,31.190094,4.8,6.4,54.241,241
227,-84.763852,31.190119,4.9,6.8,54.252,242
228,-84.763861,31.190144,4.1,5.8,54.221,243
229,-84.763869,31.190169,3.2,5.5,54.209,244
230,-84.763878,31.190194,3.2,5.3,54.218,245
231,-84.763887,31.190219,3.1,4.6,54.233,246
232,-84.763896,31.190244,3.7,4.7,54.216,247
233,-84.763904,31.190269,3.6,4.7,54.221,248
234,-84.763914,31.190294,3.9,4.9,54.213,249
235,-84.763923,31.190319,3.8,4.8,54.208,250
236,-84.763932,31.190344,2.9,5.7,54.235,251
237,-84.763941,31.190369,2.9,6.1,54.26,252
238,-84.76395,31.190394,2.9,6.5,54.294,253
239,-84.763959,31.190419,4.2,8.5,54.32,254
240,-84.763968,31.190444,3.6,8.1,54.338,255
241,-84.763976,31.190469,3.6,9.6,54.368,256
242,-84.763985,31.190494,3.5,8.8,54.423,257
243,-84.763993,31.190519,3.9,7.9,54.446,258
244,-84.764001,31.190544,3.8,9.1,54.505,259
245,-84.76401,31.190569,3.6,9.3,54.516,260
246,-84.764019,31.190593,3.8,7,54.51,261
247,-84.764029,31.190618,3.6,7.1,54.633,262
248,-84.764038,31.190643,3.9,7.9,54.689,263
249,-84.764046,31.190668,3.7,7.9,54.72,264
250,-84.764055,31.190693,3.7,7.6,54.751,265
251,-84.764064,31.190718,3.5,8.5,54.83,266
252,-84.764072,31.190744,3.1,7.3,54.863,267
253,-84.764081,31.190769,2.8,6.1,54.909,268
254,-84.764089,31.190794,2.4,5.9,54.957,269
255,-84.764098,31.190818,2.3,6.2,55.009,270
256,-84.764107,31.190844,2.2,5.9,55.061,271
257,-84.764116,31.190868,2.2,5.5,55.105,272
258,-84.764134,31.190917,2,5.4,55.199,273
259,-84.764143,31.190942,1.7,5.3,55.264,274
260,-84.764152,31.190967,1.9,4.6,55.301,275
261,-84.764161,31.190992,2.1,5.4,55.366,276
262,-84.76417,31.191017,2.6,6,55.425,277
263,-84.764179,31.191042,2.8,5.7,55.487,278
264,-84.764303,31.191388,4.1,7.9,57.295,279
265,-84.764308,31.191401,4.1,8.5,57.284,280
266,-84.764313,31.191419,4.3,8.6,57.298,281
267,-84.764321,31.19144,4,8.3,57.341,282
268,-84.764329,31.191465,3.7,7.2,57.389,283
269,-84.764338,31.191489,3.8,7.6,57.441,284
270,-84.764348,31.191515,3.7,7.3,57.398,285
271,-84.764357,31.19154,3.5,7.7,57.349,286
272,-84.764365,31.191564,2.9,6.9,57.387,287
273,-84.764374,31.191589,2.7,6,57.432,288
274,-84.764383,31.191614,2.9,5.9,57.476,289
275,-84.764392,31.191639,3.1,5.8,57.515,290
276,-84.764401,31.191664,3,5.6,57.506,291
277,-84.76441,31.191689,3.4,5.2,57.541,292
278,-84.764419,31.191714,3.4,5.4,57.576,293
279,-84.764427,31.191739,3.7,6.3,57.593,294
280,-84.764436,31.191764,4.1,7,57.63,295
281,-84.764444,31.191789,4.5,8.3,57.686,296
282,-84.764453,31.191814,5.4,9.5,57.732,297
283,-84.764461,31.191838,5.8,8.4,57.756,298
284,-84.764468,31.19186,6.2,10.3,57.782,299
285,-84.764475,31.191881,6.6,10.5,57.824,300
286,-84.764483,31.191902,6.6,10.1,57.868,301
287,-84.764489,31.191921,7,7.4,57.882,302
288,-84.764495,31.191939,5.9,9.4,57.915,303
289,-84.764501,31.191957,6.8,9.4,57.961,304
290,-84.764507,31.191974,6.6,8.1,57.962,305
291,-84.764513,31.191992,5.9,7.2,58.005,306
292,-84.764519,31.19201,5.2,6.5,58.032,307
293,-84.764524,31.192028,6.4,8.1,58.078,308
294,-84.764531,31.192045,6.1,7.5,58.078,309
295,-84.764536,31.192063,6.2,7,58.093,310
296,-84.764543,31.192081,5.6,6,58.118,311
297,-84.764549,31.192099,6.1,7.7,58.115,312
298,-84.764556,31.192117,6.3,8.2,58.137,313
299,-84.764561,31.192134,6.5,7.5,58.137,314
300,-84.764567,31.192152,7.3,7.5,58.11,315
301,-84.764573,31.19217,5.7,7.8,58.112,316
302,-84.76458,31.192187,5.9,7.2,58.106,317
303,-84.764586,31.192206,7.3,8.2,58.099,318
304,-84.764593,31.192223,6.2,6.8,58.101,319
305,-84.764598,31.192241,5.9,6.9,58.103,320
306,-84.764605,31.192259,7.5,8.5,58.118,321
307,-84.764611,31.192276,7.3,10.6,58.076,322
308,-84.764617,31.192294,7.3,9.2,58.084,323
309,-84.764624,31.192312,6.7,7.7,58.051,324
310,-84.76463,31.19233,6.6,9,58.057,325
311,-84.764636,31.192347,6.4,9.9,58.021,326
312,-84.764642,31.192365,7.3,9.4,58.004,327
313,-84.764648,31.192383,6.8,9.6,58.004,328
314,-84.764664,31.192417,4.6,3.2,57.982,329
315,-84.764833,31.192401,4,5.5,57.923,330
316,-84.764832,31.192384,3.8,5.7,57.939,331
317,-84.764825,31.192368,3.7,5.9,57.963,332
318,-84.764817,31.192351,4.2,6.8,57.962,333
319,-84.764809,31.192334,5.1,7.8,57.962,334
320,-84.764801,31.192317,4.6,8.4,57.972,335
321,-84.764792,31.192298,5.2,8.9,57.98,336
322,-84.764784,31.192278,4.8,8.5,58.001,337
323,-84.764775,31.192255,5.1,9.8,58.031,338
324,-84.764766,31.192231,4.8,8.4,58.055,339
325,-84.764758,31.192207,5.3,9.7,58.075,340
326,-84.764749,31.192182,6.4,9.8,58.108,341
327,-84.764741,31.192158,6.1,9.1,58.135,342
328,-84.764732,31.192134,6.1,9.8,58.131,343
329,-84.764724,31.19211,5.4,9.3,58.166,344
330,-84.764717,31.192085,6.7,9.6,58.174,345
331,-84.76471,31.192064,6.4,9,58.096,346
332,-84.764705,31.192049,6,7.9,58.011,347
333,-84.764703,31.192042,5.5,8.3,57.97,348
334,-84.764701,31.192037,5.3,8.7,58.004,349
335,-84.764696,31.192023,7.4,8.9,58.007,350
336,-84.76469,31.192003,7.4,9,57.938,351
337,-84.76468,31.191978,7.4,9.6,57.941,352
338,-84.764672,31.191954,6,8.6,57.857,353
339,-84.764661,31.19193,5.4,7.9,56.708,354
340,-84.764652,31.191905,4.7,7.3,56.628,355
341,-84.764644,31.191881,4.4,7.5,56.65,356
342,-84.764635,31.191857,4.3,6.4,56.489,357
343,-84.764628,31.191832,3.3,6.1,56.379,358
344,-84.76462,31.191807,2.8,4.9,56.353,359
345,-84.764612,31.191783,2.4,4,56.273,360
346,-84.764603,31.191759,2,3.7,56.255,361
347,-84.764595,31.191735,1.7,3.3,56.186,362
348,-84.764586,31.191711,1.8,3.2,56.168,363
349,-84.764577,31.191687,1.2,2.8,56.182,364
350,-84.764569,31.191662,1,2.2,56.253,365
351,-84.76456,31.191638,1,2.2,56.14,366
352,-84.764551,31.191613,1.1,2.3,56.093,367
353,-84.764543,31.191589,1.1,2.6,56.06,368
354,-84.764534,31.191564,1.2,2.8,56.021,369
355,-84.764526,31.19154,1.5,3.1,55.929,370
356,-84.764518,31.191515,1.5,3,55.939,371
357,-84.764509,31.19149,1.6,4.1,55.883,372
358,-84.764501,31.191466,2,5.3,55.825,373
359,-84.764495,31.19144,2.2,6.1,55.782,374
360,-84.764486,31.191416,2.7,6.2,55.741,375
361,-84.764477,31.191391,3.3,6.5,55.657,376
362,-84.764468,31.191366,2.9,5.4,55.654,377
363,-84.764459,31.191342,3.7,8.1,55.614,378
364,-84.764451,31.191318,3.5,7.2,55.536,379
365,-84.764441,31.191293,3.3,8.3,55.37,380
366,-84.764432,31.191269,3.8,8.4,55.334,381
367,-84.764424,31.191244,3.7,8,55.293,382
368,-84.764415,31.191219,3.1,7.2,55.223,383
369,-84.764407,31.191195,3.4,7.8,55.157,384
370,-84.764398,31.191171,3.5,7.9,55.118,385
371,-84.76439,31.191146,2.9,7.7,55.09,386
372,-84.764381,31.191122,2.8,6.8,55.003,387
373,-84.764372,31.191097,2.3,6.5,54.965,388
374,-84.764363,31.191073,2.4,6.5,54.916,389
375,-84.764352,31.19105,2,5.2,54.752,390
376,-84.764343,31.191025,1.9,4.1,54.716,391
377,-84.764335,31.191001,1.7,3.8,54.625,392
378,-84.764326,31.190977,1.5,3.8,54.586,393
379,-84.764317,31.190952,1.4,3.5,54.508,394
380,-84.764309,31.190928,1.7,4.2,54.448,395
381,-84.764301,31.190903,1.8,4.1,54.434,396
382,-84.764292,31.190879,1.9,4.5,54.36,397
383,-84.764283,31.190854,2.4,5.4,54.345,398
384,-84.764274,31.19083,1.9,5.8,54.303,399
385,-84.764266,31.190805,2,5.8,54.253,400
386,-84.764257,31.190781,2.1,6.4,54.221,401
387,-84.764249,31.190756,2.4,6.9,54.195,402
388,-84.764241,31.190732,2.8,6.9,54.166,403
389,-84.764233,31.190707,2.5,6.5,54.112,404
390,-84.764226,31.190682,2.6,7,54.07,405
391,-84.764218,31.190657,2.8,6.9,54.012,406
392,-84.764208,31.190633,2.5,7.3,53.962,407
393,-84.7642,31.190608,3,6.7,53.952,408
394,-84.764192,31.190583,2.9,6.8,53.896,409
395,-84.764184,31.190559,2.9,6.6,53.845,410
396,-84.764175,31.190535,2.6,6.4,53.825,411
397,-84.764167,31.19051,2.2,6.8,53.805,412
398,-84.764158,31.190486,2.1,6.9,53.8,413
399,-84.76415,31.190461,2.5,7.3,53.764,414
400,-84.764141,31.190436,2.8,7.7,53.746,415
401,-84.764133,31.190412,2.2,7.5,53.721,416
402,-84.764125,31.190387,2.2,7.4,53.715,417
403,-84.764116,31.190363,2.5,8.4,53.673,418
404,-84.764108,31.190338,3.1,8.4,53.63,419
405,-84.764099,31.190314,3.1,8.6,53.59,420
406,-84.764089,31.190289,4.2,9.3,53.582,421
407,-84.764081,31.190265,4,7.2,53.55,422
408,-84.764073,31.190241,3.5,7.2,53.524,423
409,-84.764064,31.190216,3.9,7.6,53.541,424
410,-84.764056,31.190192,4.6,9.2,53.554,425
411,-84.764047,31.190167,5.3,9.2,53.537,426
412,-84.764039,31.190143,5,8.3,53.529,427
413,-84.764032,31.190119,5.5,8.2,53.541,428
414,-84.764022,31.190094,5.7,8.2,53.547,429
415,-84.764015,31.190069,6.3,8.8,53.495,430
416,-84.764006,31.190045,5.5,8,53.444,431
417,-84.763998,31.19002,5.5,8.6,53.438,432
418,-84.763989,31.189996,5.4,8.4,53.434,433
419,-84.763981,31.189971,4.7,8.8,53.428,434
420,-84.763972,31.189947,5.6,9.5,53.441,435
421,-84.763964,31.189922,5.4,11.3,53.446,436
422,-84.763955,31.189897,6.2,11.4,53.423,437
423,-84.763947,31.189873,5.6,8.8,53.407,438
424,-84.763938,31.189849,4.5,8.4,53.421,439
425,-84.76393,31.189824,5.1,9.1,53.378,440
426,-84.763921,31.1898,4.7,8.5,53.403,441
427,-84.763912,31.189775,3.5,8.3,53.363,442
428,-84.763902,31.189751,3.9,7.9,53.268,443
429,-84.763893,31.189728,4,8.9,53.244,444
430,-84.763886,31.189708,4.2,7.8,53.227,445
431,-84.76388,31.189687,4.4,7.4,53.252,446
432,-84.763872,31.189667,4,6.6,53.222,447
433,-84.763865,31.189647,3.9,7,53.271,448
434,-84.763858,31.189627,4.4,7.1,53.271,449
435,-84.763851,31.189607,3.5,7.1,53.301,450
436,-84.763843,31.189587,2.5,5.6,53.349,451
437,-84.763837,31.189566,2.4,5.9,53.355,452
438,-84.763829,31.189546,2.4,6.1,53.39,453
439,-84.763822,31.189526,2.4,6.1,53.378,454
440,-84.763814,31.189506,2.6,6.5,53.348,455
441,-84.763807,31.189486,2.9,7.5,53.34,456
442,-84.7638,31.189465,3.9,7.8,53.324,457
443,-84.763793,31.189445,3.6,7.7,53.316,458
444,-84.763786,31.189425,4.3,8.3,53.318,459
445,-84.763779,31.189405,4.6,8.6,53.318,460
446,-84.76386,31.189375,3.3,2.4,53.351,461
447,-84.763879,31.189413,3.6,5.3,53.289,462
448,-84.76389,31.189432,3.3,5.5,53.301,463
449,-84.7639,31.189452,3.6,5.2,53.312,464
450,-84.76391,31.18947,3.1,4.3,53.351,465
451,-84.763919,31.18949,3.7,4.2,53.377,466
452,-84.763929,31.189508,4.2,4.2,53.411,467
453,-84.763941,31.189527,5.3,4.8,53.312,468
454,-84.763951,31.189546,5.4,5.1,53.389,469
455,-84.763961,31.189564,4.8,4.9,53.363,470
456,-84.76397,31.189584,4.8,4.7,53.328,471
457,-84.763977,31.189603,6.4,5.6,53.328,472
458,-84.763986,31.189622,5.3,5.6,53.393,473
459,-84.763993,31.189642,4.6,5.5,53.465,474
460,-84.764,31.189662,4.4,5.6,53.511,475
461,-84.764009,31.189682,3.7,5.5,53.587,476
462,-84.76402,31.189701,3.7,5.3,53.634,477
463,-84.764031,31.189719,4.7,5.6,53.678,478
464,-84.764041,31.189738,5.2,6.8,53.707,479
465,-84.76405,31.189758,5.3,7.2,53.783,480
466,-84.764058,31.189778,5.2,6.8,53.721,481
467,-84.764065,31.189798,5.9,8.2,53.673,482
468,-84.764072,31.189818,5.6,7.5,53.64,483
469,-84.764079,31.189838,6.1,7,53.599,484
470,-84.764087,31.189858,6,7.9,53.685,485
471,-84.764096,31.189877,5.3,7.3,53.564,486
472,-84.764102,31.189897,5.5,6.7,53.526,487
473,-84.76411,31.189921,5,6.6,53.567,488
474,-84.764118,31.189943,3.3,6,53.627,489
475,-84.764125,31.189968,3.6,5.8,53.601,490
476,-84.764135,31.189991,3.8,6.7,53.588,491
477,-84.764143,31.190015,3.4,6.3,53.59,492
478,-84.764152,31.19004,3.2,6.4,53.658,493
479,-84.764161,31.190064,3.2,7.5,53.69,494
480,-84.764169,31.190088,3,7.6,53.764,495
481,-84.764177,31.190113,3.2,7.8,53.801,496
482,-84.764186,31.190137,3.2,9.1,53.806,497
483,-84.764194,31.190161,3.3,9.6,53.787,498
484,-84.764203,31.190186,4.4,10.1,53.806,499
485,-84.764211,31.190211,3.3,8.8,53.911,500
486,-84.764218,31.190235,3.3,7.6,53.988,501
487,-84.764226,31.190259,3,7.7,53.991,502
488,-84.764235,31.190284,2.9,7.4,54.037,503
489,-84.764243,31.190308,3.2,6.4,54.043,504
490,-84.764252,31.190332,3.8,8.7,54.069,505
491,-84.764261,31.190356,3.2,10.9,54.063,506
492,-84.764269,31.19038,4.2,10.1,54.053,507
493,-84.764277,31.190405,3.3,10.5,54.087,508
494,-84.764285,31.190429,3.1,9.8,53.99,509
495,-84.764294,31.190453,2.8,9.1,53.947,510
496,-84.764301,31.190477,2.5,8.7,54.045,511
497,-84.764309,31.190502,2.7,8,54.094,512
498,-84.764317,31.190527,2.6,7.2,54.176,513
499,-84.764325,31.190551,2.5,7.7,54.188,514
500,-84.764334,31.190575,2.7,8.3,54.265,515
501,-84.764342,31.1906,2.5,7.5,54.239,516
502,-84.764351,31.190623,2.5,8.8,54.298,517
503,-84.76436,31.190648,2.6,8.5,54.31,518
504,-84.764368,31.190672,2.5,7.9,54.321,519
505,-84.764376,31.190696,2.1,6.5,54.391,520
506,-84.764384,31.19072,1.7,5.8,54.437,521
507,-84.764393,31.190744,1.7,5.8,54.495,522
508,-84.764402,31.190769,1.7,4.9,54.52,523
509,-84.76441,31.190793,1.5,4.4,54.616,524
510,-84.764418,31.190817,1.7,4.4,54.616,525
511,-84.764427,31.190841,1.8,4.4,54.673,526
512,-84.764435,31.190865,1.3,4.5,54.693,527
513,-84.764444,31.19089,1.4,3.8,54.731,528
514,-84.764452,31.190914,1.4,4.2,54.791,529
515,-84.764461,31.190938,1.4,4.1,54.814,530
516,-84.76447,31.190962,1.5,4.3,54.868,531
517,-84.764478,31.190986,1.9,4.7,54.889,532
518,-84.764486,31.19101,2,5,54.937,533
519,-84.764495,31.191034,2.5,7.9,54.956,534
520,-84.764504,31.191058,3.3,8.8,55.015,535
521,-84.764512,31.191083,2.9,8.2,55.035,536
522,-84.764521,31.191107,3.8,9,55.1,537
